Ano;PIB (Current USD);PIB (tri);Ano_;Mes;Chave
1987;17485079208341,4;17,48507921;1987;1;1987-1
1988;19547533420110,2;19,54753342;1988;1;1988-1
1989;20324144454836,4;20,32414445;1989;1;1989-1
1990;22822610047367,9;22,82261005;1990;1;1990-1
1991;23823551632893,9;23,82355163;1991;1;1991-1
1992;25468013295178,4;25,4680133;1992;1;1992-1
1993;25959419035161,3;25,95941904;1993;1;1993-1
1994;27938851279645,6;27,93885128;1994;1;1994-1
1995;31140610056946,1;31,14061006;1995;1;1995-1
1996;31857694101272,1;31,8576941;1996;1;1996-1
1997;31752297154746,4;31,75229715;1997;1;1997-1
1998;31697043749659,3;31,69704375;1998;1;1998-1
1999;32730998280081,1;32,73099828;1999;1;1999-1
2000;33839387350047,3;33,83938735;2000;1;2000-1
2001;33626960202657,6;33,6269602;2001;1;2001-1
2002;34917697037982,8;34,91769704;2002;1;2002-1
2003;39152139289705,4;39,15213929;2003;1;2003-1
2004;44116200000000,0;44,1162;2004;1;2004-1
2005;47760320738747,8;47,76032074;2005;1;2005-1
2006;51749808632586,7;51,74980863;2006;1;2006-1
2007;58314867929879,6;58,31486793;2007;1;2007-1
2008;64072295929643,4;64,07229593;2008;1;2008-1
2009;60718262754480,1;60,71826275;2009;1;2009-1
2010;66514200000000,0;66,5142;2010;1;2010-1
2011;73957792909770,5;73,95779291;2011;1;2011-1
2012;75603976718162,8;75,60397672;2012;1;2012-1
2013;77751368312765,5;77,75136831;2013;1;2013-1
2014;79894385759929,2;79,89438576;2014;1;2014-1
2015;75359657218242,5;75,35965722;2015;1;2015-1
2016;76588030455295,5;76,58803046;2016;1;2016-1
2017;81550955754739,3;81,55095575;2017;1;2017-1
2018;86686870786621,5;86,68687079;2018;1;2018-1
2019;87945574337517,8;87,94557434;2019;1;2019-1
2020;85577718250195,5;85,57771825;2020;1;2020-1
2021;97527032881901,1;97,52703288;2021;1;2021-1
2022;101225000000000,0;101,225;2022;1;2022-1
2023;105435000000000,0;105,435;2023;1;2023-1
